INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
509669,800006445,Walsh Park,1734 N Paulina St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60622,41.913376,-87.670428,R,99,2/13/2014 8:54
509708,800005810,COMMONWEALTH APTS,2757 N Pine Grove Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60614,41.931724,-87.640985,R,71,2/12/2014 9:02
509715,800006030,Lake Vista Apartments,1500 S Indiana Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60605,41.862050,-87.622745,R,73,9/23/2013 11:13
509731,800005931,Germano-Millgate Apartments,8802 S Burley Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60617,41.735585,-87.545986,R,84,9/23/2013 10:01
509989,800005725,Belmont Harbor Towers,510 W Belmont Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60657,41.940258,-87.642779,R,72,9/9/2013 10:03
510006,800006379,The Parkways,6718 S East End Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60649,41.772297,-87.583850,4,80,9/26/2013 10:19
510039,800005857,Drexel Towers Apartments,4825 S Drexel Blvd,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60615,41.807317,-87.603636,R,67,2/11/2014 11:28
510052,800006401,THORNDALE MANOR,1020 W Thorndale Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60660,41.990216,-87.655245,R,87,2/18/2014 9:39
510110,800006107,Genesis Group 5800 Inc,5800 S Michigan Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.789260,-87.622527,R,88,9/20/2013 9:59
510181,800006245,PIONEER VILLAGE,340 E 38th St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60653,41.825799,-87.617756,R,89,9/12/2013 9:44
510246,800232769,Woodlawn Center South,6230 S Cottage Grove Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.781666,-87.606180,R,94,8/8/2013 10:12
511786,800005736,BOOTH MANOR,1500 W Madison St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60607,41.881688,-87.665187,R,75,12/16/2013 9:46
511917,800067932,Matthew Manor II,251 N Albany Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60612,41.885681,-87.703566,R,96,11/15/2013 10:02
512129,800236775,WOODLAWN CENTER NORTH (PRESERVATION),6129 S Cottage Grove Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60637,41.783507,-87.605789,R,91,12/18/2013 10:03
512171,800067952,St. Ailbe Apts. II,9240 S Kimbark Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60619,41.726311,-87.592684,R,97,12/3/2013 10:37
512173,800222721,TRC SENIOR VILLAGE 1,346 E 53rd St,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60615,41.798624,-87.617438,R,90,11/21/2013 9:59
512197,800068329,"HABILITATIVE SYSTEMS, INC.",4623 W Gladys Ave,Chicago,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",16974,Cook,031,IL,17,60644,41.875810,-87.741576,R,75,11/18/2013 10:07
